verður	verða	sfg3en
farið	fara	sþghen
framhjá	framhjá	af
Norðtungu	Norðtunga	nveþ-s
að	að	af
Deildartungu	Deildartunga	nveþ-s
og	og	c
Deildartunguhver	Deildartunguhver	nken-s
skoðaður	skoða	sþgken
.	.	pl

Þaðan	þaðan	aa
ekið	aka	sþghen
framhjá	framhjá	af
Kleppjárnsreykjum	Kleppjárnsreykir	nkfþ-s
og	og	c
niður	niður	af
Andakíl	Andakíll	nkeo-s
að	að	af
Borgarfjarðarbrú	Borgarfjarðarbrú	nveþ-s
Hafnarfjallsmegin	Hafnarfjallsmegin	aa
en	en	c
þar	þar	aa
verður	verða	sfg3en
snædd	snæða	sþgven
kjötsúpa	kjötsúpa	nven
.	.	pl

Eftir	eftir	af
matinn	matur	nkeog
verður	verða	sfg3en
ekið	aka	sþghen
til	til	af
Akraness	Akranes	nhee-s
og	og	c
Byggðarsvæði	Byggðarsvæði	nhen-s
bæjarins	bær	nkeeg
heimsótt	heimsækja	sþghen
-	-	pa
en	en	c
meðal	meðal	af
þess	það	fphee
,	,	pk
sem	sem	ct
þar	þar	aa
er	vera	sfg3en
sýnt	sýna	sþghen
er	vera	sfg3en
steinasafn	steinasafn	nhen
,	,	pk
íþróttasafn	íþróttasafn	nhen
,	,	pk
byggðasafn	byggðasafn	nhen
og	og	c
forsýning	forsýning	nven
á	á	af
safni	safn	nheþ
Landmælinga	Landmæling	nvfe-s
Íslands	Ísland	nhee-s
.	.	pl

Áætluð	áætlaður	lvensf
heimkoma	heimkoma	nven
er	vera	sfg3en
kl.	kl.	ks
18	18	ta
.	.	pl

Ferðanefndin	ferðanefnd	nveng
,	,	pk
Bogi	Bogi	nken-s
Þórir	Þórir	nken-s
(	(	pa
s	s	x
:	:	pa
5540233	5540233	ta
)	)	pa
og	og	c
Þráinn	Þráinn	nken-s
(	(	pa
s	s	x
:	:	pa
5540999	5540999	ta
)	)	pa
Félag	Félag	nhen-s
eldri	gamall	lkfevm
borgara	borgari	nkfe
,	,	pk
Suðurnesjum	Suðurnes	nhfþ-s
.	.	pl

Bingó	bingó	nhen
í	í	af
Selinu	Sel	nheþgs
Vallarbraut	Vallarbraut	nveþ-s
4	4	ta
,	,	pk
Njarðvík	Njarðvík	nveþ-s
,	,	pk
öll	allur	fohfo
mánudagskvöld	mánudagskvöld	nhfo
kl.	kl.	ks
20	20	ta
.	.	pl

Vesturgata	Vesturgata	nven-s
7	7	ta
.	.	pl

Leikfimikennsla	leikfimikennsla	nven
byrjar	byrja	sfg3en
þriðjudaginn	þriðjudagur	nkeog
17	17.	ta
sept	sept	ks
kl.	kl.	ks
11-12	11-12	ta
,	,	pk
einnig	einnig	aa
verður	verða	sfg3en
kennt	kenna	sþghen
á	á	af
fimmtudögum	fimmtudagur	nkfþ
kl.	kl.	ks
13-14	13-14	ta
.	.	pl

Miðvikudaginn	miðvikudagur	nkeog
18	18.	ta
september	september	nkeo
kl.	kl.	ks
13-16	13-16	ta
byrjar	byrja	sfg3en
fyrsti	fyrstur	lkenve
tréskurðartími	tréskurðartími	nken
vetrarins	vetur	nkeeg
,	,	pk
skráning	skráning	nven
hafin	hafinn	lvensf
.	.	pl

Vitatorg	Vitatorg	nhen-s
.	.	pl

Vetrardagskráin	vetrardagskrá	nveng
komin	koma	sþgven
.	.	pl

Laus	laus	lhfnsf
pláss	pláss	nhfn
í	í	af
eftirtöldum	eftirtalinn	lhfþsf
námskeiðum	námskeið	nhfþ
:	:	pa
Bókbandi	bókband	nheþ
,	,	pk
myndlist	myndlist	nveþ
,	,	pk
leirmótun	leirmótun	nveþ
,	,	pk
körfugerð	körfugerð	nveþ
,	,	pk
mósaik	mósaik	nveþ
og	og	c
smiðju	smiðja	nveþ
.	.	pl

Upplýsingar	upplýsing	nvfn
í	í	af
síma	sími	nkeþ
5610300	5610300	ta
.	.	pl

Allir	allur	fokfn
aldurshópar	aldurshópur	nkfn
velkomnir	velkominn	lkfnsf
.	.	pl

Gönguklúbbur	gönguklúbbur	nken
Hana-nú	hananú	n-ee-s
.	.	pl

Morgunganga	morgunganga	nven
kl.	kl.	ks
10	10	ta
laugardagsmorgna	laugardagsmorgunn	nkfo
frá	frá	af
Gjábakka	Gjábakki	nkeþ-s
.	.	pl

Krummakaffi	krummakaffi	nhen
kl.	kl.	ks
9	9	ta
.	.	pl

Allir	allur	fokfn
velkomnir	velkominn	lkfnsf
.	.	pl

Gigtarfélagið	Gigtarfélag	nhengs
.	.	pl

Leikfimi	leikfimi	nven
alla	allur	fokfo
daga	dagur	nkfo
vikunnar	vika	nveeg
.	.	pl

Létt	léttur	lvensf
leikfimi	leikfimi	nven
,	,	pk
bakleikfimi	bakleikfimi	nven
karla	karl	nkfe
,	,	pk
vefjagigtarhópar	vefjagigtarhópur	nkfn
,	,	pk
jóga	jóga	nhen
,	,	pk
vatnsþjálfun	vatnsþjálfun	nven
.	.	pl

Einn	einn	tfken
ókeypis	ókeypis	lkenof
prufutími	prufutími	nken
fyrir	fyrir	af
þá	sá	fakfo
sem	sem	ct
vilja	vilja	sfg3fn
.	.	pl

Uppl.	uppl.	ks
á	á	af
skrifstofu	skrifstofa	nveþ
GÍ	GÍ	n----s
,	,	pk
s.	s.	ks
5303600	5303600	ta
.	.	pl

Stuðningsfundir	stuðningsfundur	nkfn
fyrrverandi	fyrrverandi	lheeof
reykingafólks	reykingafólk	nhee
.	.	pl

Fólk	fólk	nhen
sem	sem	ct
sótt	sækja	sþghen
hefur	hafa	sfg3en
námskeið	námskeið	nhfo
gegn	gegn	af
reykingum	reyking	nvfþ
í	í	af
Heilsustofnun	Heilsustofnun	nveþ-s
NLFÍ	NLFÍ	n----s
í	í	af
Hveragerði	Hveragerði	nheþ-s
,	,	pk
fundur	fundur	nken
í	í	af
Gerðubergi	Gerðuberg	nheþ-s
þriðjudag	þriðjudagur	nkeo
kl.	kl.	ks
17.30	17.30	ta
.	.	pl

GA-fundir	GA-fundur	nkfn
spilafíkla	spilafíkill	nkfo
,	,	pk
kl.	kl.	ks
18.15	18.15	ta
á	á	af
mánudögum	mánudagur	nkfþ
í	í	af
Seltjarnarneskirkju	Seltjarnarneskirkja	nveþ-s
(	(	pa
kjallara	kjallari	nkeþ
)	)	pa
,	,	pk
kl.	kl.	ks
20.30	20.30	ta
á	á	af
fimmtudögum	fimmtudagur	nkfþ
í	í	af
fræðsludeild	fræðsludeild	nveþ
SÁA	SÁA	n----s
,	,	pk
Síðumúla	Síðumúli	nkeþ-s
3-5	3-5	ta
,	,	pk
og	og	c
í	í	af
kirkju	kirkja	nveþ
Óháða	óháður	lkeevf
safnaðarins	söfnuður	nkeeg
við	við	af
Háteigsveg	Háteigsvegur	nkeo-s
á	á	af
laugardögum	laugardagur	nkfþ
kl.	kl.	ks
10.30	10.30	ta
.	.	pl

Samtök	Samtök	nhfn-s
þolenda	þolandi	nkfe
kynferðislegs	kynferðislegur	lheesf
ofbeldis	ofbeldi	nhee
,	,	pk
fundir	fundur	nkfn
mánudaga	mánudagur	nkfo
kl.	kl.	ks
20	20	ta
á	á	af
Sólvallagötu	Sólvallagata	nveþ-s
12	12	ta
.	.	pl

Stuðst	styðja	sþmhen
er	vera	sfg3en
við	við	af
12	12	ta
spora	spor	nhfe
kerfi	kerfi	nheo
AA-samtakanna	AA-samtök	nhfegs
.	.	pl

Kattholt	Kattholt	nhen-s
.	.	pl

Flóamarkaður	flóamarkaður	nken
í	í	af
Kattholti	Kattholt	nheþ-s
,	,	pk
Stangarhyl	Stangarhylur	nkeþ-s
2	2	ta
,	,	pk
er	vera	sfg3en
opinn	opinn	lkeosf
þriðjudag	þriðjudagur	nkeo
og	og	c
fimmtudag	fimmtudagur	nkeo
kl.	kl.	ks
14-17	14-17	ta
.	.	pl

Leið	leið	nven
10	10	ta
og	og	c
110	110	ta
ganga	ganga	sfg3fn
að	að	af
Kattholti	Kattholt	nheþ-s
.	.	pl

Karlakórinn	karlakór	nkeng
Kátir	kátur	lkfnsf
karlar	karl	nkfn
hefur	hefja	sfg3en
æfingar	æfing	nvfo
þriðjudaginn	þriðjudagur	nkeog
17	17.	ta
sept.	sept.	ks
kl.	kl.	ks
13	13	ta
í	í	af
Félags-	félagsmiðstöð	kt
og	og	c
þjónustumiðstöðinni	þjónustumiðstöð	nveþg
Árskógum	Árskógar	nkfþ-s
4	4	ta
.	.	pl

Söngstjóri	söngstjóri	nken
Úlrik	Úlrik	nken-s
Ólason	Ólason	nken-s
.	.	pl

Tekið	taka	sþghen
við	við	af
pöntunum	pöntun	nvfþ
í	í	af
söng	söngur	nkeo
í	í	af
s.	s.	ks
5535979	5535979	ta
Jón	Jón	nken-s
,	,	pk
s.	s.	ks
5518857	5518857	ta
Guðjón	Guðjón	nken-s
eða	eða	c
s.	s.	ks
5532725	5532725	ta
Stefán	Stefán	nken-s
.	.	pl

Frá	frá	af
Félagi	Félag	nheþ-s
kennara	kennari	nkfe
á	á	af
eftirlaunum	eftirlaun	nhfþ
.	.	pl

Félagsvistin	félagsvist	nveng
í	í	af
dag	dagur	nkeo
14	14.	ta
september	september	nkeo
verður	verða	sfg3en
í	í	af
Síðumúla	Síðumúli	nkeþ-s
37	37	ta
,	,	pk
húsi	hús	nheþ
Bridssambands	Bridssamband	nhee-s
Íslands	Ísland	nhee-s
,	,	pk
klukkan	klukka	nveng
13.30	13.30	ta
,	,	pk
en	en	c
ekki	ekki	aa
í	í	af
Húnabúð	Húnabúð	nveþ-s
eins	eins	aa
og	og	c
sagt	segja	sþghen
var	vera	sfg3eþ
í	í	af
seinasta	seinn	lheþve
fréttabréfi	fréttabréf	nheþ
FKE	FKE	n----s
.	.	pl

Þórir	Þórir	nken-s
Sigurðsson	Sigurðsson	nken-s
segir	segja	sfg3en
frá	frá	af
þingi	þing	nheþ
Norrænna	norrænn	lkfesf
kennara	kennari	nkfe
á	á	af
eftirlaunum	eftirlaun	nhfþ
.	.	pl

Kvenfélag	Kvenfélag	nhen-s
Fríkirkjunnar	Fríkirkja	nveegs
í	í	af
Reykjavík	Reykjavík	nveþ-s
.	.	pl

Fyrirhuguð	fyrirhugaður	lvensf
haustferð	haustferð	nven
laugardaginn	laugardagur	nkeog
21	21.	ta
september	september	nkeo
.	.	pl

Upplýsingar	upplýsing	nvfn
hjá	hjá	af
Ásu	Ása	nveþ-s
,	,	pk
s.	s.	ks
5671505	5671505	ta
,	,	pk
Auði	Auður	nveþ-s
5542626	5542626	ta
eða	eða	c
Sigurborgu	Sigurborg	nveþ-s
,	,	pk
s.	s.	ks
5875573	5875573	ta
.	.	pl

(	(	pa
Matt	Matt.	n----s
16	16	ta
,	,	pk
26	26.	ta
)	)	pa

UM	um	af
þessar	þessi	favfo
mundir	mund	nvfo
er	vera	sfg3en
verið	vera	sþghen
að	að	cn
hleypa	hleypa	sng
af	af	af
stokkunum	stokkur	nkfþg
fjölbreyttu	fjölbreyttur	lheþsf
vetrarstarfi	vetrarstarf	nheþ
Bessastaðasóknar	Bessastaðasókn	nvee-s
.	.	pl

ekki	ekki	aa
bara	bara	aa
hús	hús	nhen
,	,	pk
innihaldið	innihald	nheng
er	vera	sfg3en
það	sá	fahen
sem	sem	ct
skiptir	skipta	sfg3en
máli	mál	nheþ
.	.	pl

Starfsemin	starfsemi	nveng
sem	sem	ct
heild	heild	nven
er	vera	sfg3en
mikilvæg	mikilvægur	lvensf
en	en	c
hún	hún	fpven
snýst	snúa	sfm3en
í	í	af
rauninni	raun	nveþg
fyrst	fyrr	aae
og	og	c
fremst	fremur	aae
um	um	af
framleiðslu	framleiðsla	nveo
á	á	af
merkingu	merking	nveþ

.	.	pl

Framleiðsla	framleiðsla	nven
á	á	af
merkingu	merking	nveþ
Sú	sá	faven
krafa	krafa	nven
sem	sem	ct
gerð	gera	sþgven
var	vera	sfg3eþ
á	á	af
sjöunda	sjöundi	lkeþvf
áratugnum	áratugur	nkeþg
um	um	af
afnám	afnám	nheo
hámenningarstefnu	hámenningarstefna	nvee
og	og	c
víðari	víður	lhfovm
sjónarhorn	sjónarhorn	nhfo
á	á	af
sviði	svið	nheþ
lista	list	nvfe
hafði	hafa	sfg3eþ
einsog	einsog	c
áður	áður	aa
sagði	segja	sfg3eþ
þau	sá	fahfo
áhrif	áhrif	nhfo
að	að	c
nýjar	nýr	lvfnsf
hugmyndir	hugmynd	nvfn
á	á	af
sviði	svið	nheþ
aðferðafræði	aðferðafræði	nvee
í	í	af
sýningarstjórn	sýningarstjórn	nveþ
komu	koma	sfg3fþ
fram	fram	aa
í	í	af
dagsljósið	dagsljós	nheog
þar	þar	aa
sem	sem	c
skörun	skörun	nven
ólíkra	ólíkur	lkfesf
þátta	þáttur	nkfe
á	á	af
sviði	svið	nheþ
menningar	menning	nvee
fékk	fá	sfg3eþ
aukið	aukinn	lheosf
vægi	vægi	nheo
.	.	pl

Sú	sá	faven
þróun	þróun	nven
er	vera	sfg3en
mjög	mjög	aa
vel	vel	aa
sýnileg	sýnilegur	lvensf
í	í	af
listheimi	listheimur	nkeþ
samtímans	samtími	nkeeg
þar	þar	aa
sem	sem	c
félagsfræði	félagsfræði	nven
,	,	pk
sálfræði	sálfræði	nven
,	,	pk
heimspeki	heimspeki	nven
,	,	pk
vísindi	vísindi	nhfn
og	og	c
kynjafræði	kynjafræði	nven
-	-	pa
svo	svo	aa
nokkuð	nokkur	fohen
sé	vera	svg3en
nefnt	nefna	sþghen
-	-	pa
setur	setja	sfg3en
svip	svipur	nkeo
sinn	sinn	fekeo
á	á	af
sýningarstjórn	sýningarstjórn	nveo
sem	sem	aa
og	og	c
listsköpunina	listsköpun	nveog
sjálfa	sjálfur	fbveo
.	.	pl

En	en	c
þessi	þessi	faven
þróun	þróun	nven
er	vera	sfg3en
að	að	af
sjálfsögðu	sjálfsagður	lheþsf
ekki	ekki	aa
komin	koma	sþgven
á	á	af
neinn	neinn	fokeo
endapunkt	endapunktur	nkeo
því	það	fpheþ
stöðugt	stöðugt	aa
er	vera	sfg3en
leitað	leita	sþghen
nýrra	nýr	lvfesf
leiða	leið	nvfe
við	við	af
framleiðslu	framleiðsla	nveo
á	á	af
merkingu	merking	nveþ
eða	eða	c
við	við	af
að	að	cn
setja	setja	sng
listaverk	listaverk	nhfo
,	,	pk
bæði	bæði	c
samtímans	samtími	nkeeg
og	og	c
fyrri	fyrri	lkfevm
tíma	tími	nkfe
,	,	pk
í	í	af
nýtt	nýr	lheosf
samhengi	samhengi	nheo
sem	sem	ct
hefur	hafa	sfg3en
eitthvað	einhver	foheo
ferskt	ferskur	lheosf
fram	fram	aa
að	að	cn
færa	færa	sng
fyrir	fyrir	af
bæði	bæði	c
fagfólk	fagfólk	nheo
og	og	c
hin	hinn	x
almenna	almennur	lkeovf
áhorfanda	áhorfandi	nkeo
.	.	pl

En	en	c
hvar	hvar	aa
skyldi	skulu	svg3eþ
stefnumótandi	stefnumótandi	lvenof
orðræða	orðræða	nven
um	um	af
framþróun	framþróun	nveo
á	á	af
þessu	þessi	faheþ
sviði	svið	nheþ
,	,	pk
eða	eða	c
framleiðslu	framleiðsla	nveo
á	á	af
merkingu	merking	nveþ
,	,	pk
eiga	eiga	sng
sér	sig	fpveþ
stað	staður	nkeo
?	?	pl

Hún	hún	fpven
á	eiga	sfg3en
sér	sig	fpveþ
að	að	af
sjálfsögðu	sjálfsagður	lheþsf
stað	staður	nkeo
innan	innan	af
allra	allur	fovfe
metnaðarfullra	metnaðarfullur	lvfesf
stofnana	stofnun	nvfe
á	á	af
sviði	svið	nheþ
lista	list	nvfe
;	;	pk
í	í	af
söfnum	safn	nhfþ
og	og	c
galleríum	gallerí	nhfþ
,	,	pk
listaháskólum	listaháskóli	nkfþ
,	,	pk
meðal	meðal	af
listamanna	listamaður	nkfe
,	,	pk
fræðimanna	fræðimaður	nkfe
,	,	pk
gagnrýnenda	gagnrýnandi	nkfe
og	og	c
í	í	af
hverskonar	hverskonar	lveþof
útgáfustarfsemi	útgáfustarfsemi	nveþ
er	er	ct
lýtur	lúta	sfg3en
að	að	af
listum	list	nvfþ
.	.	pl

Hvergi	hvergi	aa
er	vera	sfg3en
hún	hún	fpven
þó	þó	aa
öflugri	öflugur	lvenvm
en	en	c
í	í	aa
kringum	kringum	af
þá	sá	fakfo
viðburði	viðburður	nkfo
þar	þar	aa
sem	sem	c
allir	allur	fokfn
þessir	þessi	fakfn
aðilar	aðili	nkfn
safnast	safna	sfm3fn
saman	saman	aa
og	og	c
hittast	hitta	sfm3fn
til	til	af
þess	það	fphee
að	að	cn
skoða	skoða	sng
og	og	c
skeggræða	skeggræða	sng
það	sá	faheo
besta	góður	lheove
sem	sem	ct
listheimurinn	listheimur	nkeng
hefur	hafa	sfg3en
upp	upp	aa
á	á	aa
að	að	cn
bjóða	bjóða	sng
.	.	pl

Auk	auk	af
alls	allur	fohee
þess	sá	fahee
prentefnis	prentefni	nhee
sem	sem	ct
framleitt	framleiða	sþghen
er	vera	sfg3en
við	við	af
slík	slíkur	fbhfo
tækifæri	tækifæri	nhfo
er	vera	sfg3en
boðið	bjóða	sþghen
upp	upp	aa
á	á	af
fyrirlestra	fyrirlestur	nkfo
og	og	c
umræður	umræða	nvfo
.	.	pl

Ekki	ekki	aa
má	mega	sfg3en
heldur	heldur	aam
gleyma	gleyma	sng
að	að	c
þau	sá	fahfn
sambönd	samband	nhfn
er	er	ct
verða	verða	sfg3fn
til	til	af
þess	það	fphee
að	að	c
hugmyndafræðileg	hugmyndafræðilegur	lvensf
hreyfing	hreyfing	nven
kemst	koma	sfm3en
á	á	af
hlutina	hlutur	nkfog
myndast	mynda	sfm3en
að	að	af
sjálfsögðu	sjálfsagður	lheþsf
einnig	einnig	aa
með	með	af
óformlegri	óformlegur	lkeþvm
hætti	háttur	nkeþ
.	.	pl

Heimur	heimur	nken
þess	sá	fahee
fagfólks	fagfólk	nhee
er	er	ct
stýrir	stýra	sfg3en
helstu	heldri	lhfþve
söfnum	safn	nhfþ
og	og	c
sýningum	sýning	nvfþ
heims	heimur	nkee
er	vera	sfg3en
ekki	ekki	aa
ýkja	ýkja	aa
stór	stór	lkensf
,	,	pk
en	en	c
eins	eins	aa
og	og	c
einn	einn	foken
þekktasti	þekktur	lkenve
sýningarstjóri	sýningarstjóri	nken
heims	heimur	nkee
um	um	af
þessar	þessi	favfo
mundir	mund	nvfo
,	,	pk
Hans	Hans	nken-s
Ulrich	Ulrich	n----s
Obrist	Obrist	n----s
,	,	pk
er	er	ct
starfar	starfa	sfg3en
við	við	af
Nútímalistasafn	Nútímalistasafn	nheo-s
Parísarborgar	Parísarborg	nvee-s
,	,	pk
benti	benda	sfg3eþ
á	á	aa
í	í	af
samtali	samtal	nheþ
við	við	af
Morgunblaðið	Morgunblað	nheogs
er	er	ct
birtist	birta	sfm3eþ
um	um	af
síðustu	síðari	lveove
helgi	helgi	nveo
,	,	pk
þá	þá	aa
eiga	eiga	sfg3fn
áhugaverðustu	áhugaverður	lhfnve
samtölin	samtal	nhfng
sér	sig	fphfþ
oft	oft	aa
stað	staður	nkeo
á	á	aa
milli	milli	af
atriða	atriði	nhfe
,	,	pk
eins	eins	aa
og	og	c
hann	hann	fpken
orðaði	orða	sfg3eþ
það	það	fpheo
.	.	pl

Það	það	fphen
er	vera	sfg3en
því	því	aa
mikilvægt	mikilvægur	lhensf
að	að	c
allir	allur	fokfn
þeir	sá	fakfn
sem	sem	ct
hafa	hafa	sfg3fn
áhuga	áhugi	nkeo
á	á	af
að	að	cn
taka	taka	sng
þátt	þáttur	nkeo
í	í	af
slíkri	slíkur	fbveþ
stefnumótun	stefnumótun	nveþ
séu	vera	svg3fn
á	á	af
staðnum	staður	nkeþg
.	.	pl

Hugmyndafræði	hugmyndafræði	nven
í	í	af
stöðugri	stöðugur	lveþsf
mótun	mótun	nveþ
Í	í	af
nýjasta	nýr	lheþve
tölublaði	tölublað	nheþ
listtímaritsins	listtímarit	nheeg
artpress	artpress	e
,	,	pk
er	vera	sfg3en
fjallað	fjalla	sþghen
um	um	af
Feneyjatvíæringinn	Feneyjatvíæringur	nkeogs
,	,	pk
rétt	rétt	aa
eins	eins	aa
og	og	c
í	í	af
nánast	náið	aae
öllum	allur	fohfþ
öðrum	annar	fohfþ
listtímaritum	listtímarit	nhfþ
sem	sem	ct
komu	koma	sfg3fþ
út	út	aa
í	í	af
síðasta	síðari	lkeþve
mánuði	mánuður	nkeþ
.	.	pl

Þemað	þema	nheng
sem	sem	ct
Francesco	Francesco	n----s
Bonami	Bonami	n----s
,	,	pk
stjórnandi	stjórnandi	nken
tvíæringsins	tvíæringur	nkeeg
að	að	af
þessu	þessi	faheþ
sinni	sinn	nheþ
valdi	velja	sfg3eþ
honum	hann	fpkeþ
er	vera	sfg3en
eins	eins	aa
og	og	c
kunnugt	kunnugur	lhensf
er	vera	sfg3en

Draumar	Draumur	nkfn-s
og	og	c
árekstrar	árekstur	nkfn
-	-	pa
alræðisvald	alræðisvald	nhen
áhorfandans	áhorfandi	nkeeg
,	,	pk
og	og	c
í	í	af
tímaritinu	tímarit	nheþg
er	vera	sfg3en
einmitt	einmitt	aa
fjallað	fjalla	sþghen
um	um	af
þá	sá	faveo
hugmyndafræði	hugmyndafræði	nveo
sem	sem	ct
liggur	liggja	sfg3en
að	að	af
baki	bak	nheþ
framkvæmdinni	framkvæmd	nveþg
að	að	af
þessu	þessi	faheþ
sinni	sinn	nheþ
.	.	pl

Höfundur	höfundur	nken
greinarinnar	grein	nveeg
,	,	pk
Massimiliano	Massimiliano	n----s
Gioni	Gioni	n----s
,	,	pk
segir	segja	sfg3en
m.a.	m.a.	ks
:	:	pa

Fimmtugasti	fimmtugur	lkenve
Feneyjatvíæringurinn	Feneyjatvíæringur	nkengs
er	vera	sfg3en
hugsaður	hugsa	sþgken
sem	sem	ct
einskonar	einskonar	lkenof
eyjaklasi	eyjaklasi	nken
ólíkra	ólíkur	lkfesf
reynsluheima	reynsluheimur	nkfe
og	og	c
tungumála	tungumál	nhfe
-	-	pa
sýning	sýning	nven
á	á	af
sýningum	sýning	nvfþ
-	-	pa
og	og	c
gefur	gefa	sfg3en
sig	sig	fpkeo
út	út	aa
fyrir	fyrir	af
að	að	cn
vera	vera	sng
könnun	könnun	nven
á	á	af
heimi	heimur	nkeþ
nútímans	nútími	nkeeg
eins	eins	aa
og	og	c
hann	hann	fpken
endurspeglast	endurspegla	sfm3en
í	í	af
sjóngleri	sjóngler	nheþ
samtímalista	samtímalist	nvfe
.	.	pl

Tvíæringurinn	Tvíæringur	nkengs
í	í	af
ár	ár	nheo
er	vera	sfg3en
þó	þó	aa
frekar	frekar	aam
eins	eins	aa
og	og	c
þrívíddarsýning	þrívíddarsýning	nven
en	en	c
landakort	landakort	nhen
og	og	c
verður	verða	sfg3en
að	að	af
flóknu	flókinn	lheþsf
landslagi	landslag	nheþ
,	,	pk
endalausum	endalaus	lhfþsf
tilbrigðum	tilbrigði	nhfþ
atburðarása	atburðarás	nvfe
,	,	pk
sem	sem	ct
leiða	leiða	sfg3fn
áhorfandann	áhorfandi	nkeog
í	í	aa
gegnum	gegnum	af
hættusvæði	hættusvæði	nhfo
og	og	c
heitustu	heitur	lkfove
bletti	blettur	nkfo
samtímamenningar	samtímamenning	nvee
,	,	pk
jafnframt	jafnframt	af
því	það	fpheþ
að	að	cn
rísa	rísa	sng
upp	upp	aa
í	í	af
stjörnuhæðir	stjörnuhæð	nvfo
útópíunnar	útópía	nveeg
.	.	pl

Hann	hann	fpken
spannar	spanna	sfg3en
allt	allur	foheo
frá	frá	af
kaldri	kaldur	lveþsf
fegurð	fegurð	nveþ
þess	sá	fahee
sem	sem	ct
er	vera	sfg3en
sígilt	sígildur	lhensf
í	í	af
Bandaríkjunum	Bandaríki	nhfþgs
,	,	pk
í	í	af
verkum	verk	nhfþ
manna	maður	nkfe
á	á	af
borð	borð	nheo
við	við	af
Matthew	Matthew	n----s
Barney	Barney	n----s
,	,	pk
Robert	Robert	n----s
Gober	Gober	n----s
og	og	c
Charles	Charles	n----s
Ray	Ray	n----s
,	,	pk
til	til	af
heillar	heill	lveesf
kynslóðar	kynslóð	nvee
ungra	ungur	lkfesf
,	,	pk
óþreyjufullra	óþreyjufullur	lkfesf
og	og	c
að	að	af
mestu	mikill	lheþse
óþekktra	óþekktur	lkfesf
listamanna	listamaður	nkfe
,	,	pk
og	og	c
byggir	byggja	sfg3en
þannig	þannig	aa
brýr	brú	nvfo
á	á	aa
milli	milli	af
hinna	hinn	gkfe
ofurfrægu	ofurfrægur	lkfevf
og	og	c
þeirra	sá	fakfe
óþekktu	óþekktur	lkfevf
.	.	pl

Tvíæringur	Tvíæringur	nken-s
Bonamis	Bonami	nkee-s
gefur	gefa	sfg3en
fyrirheit	fyrirheit	nhfo
um	um	af
leiðsögn	leiðsögn	nveo
í	í	aa
gegnum	gegnum	af
heim	heimur	nkeo
andstæðna	andstæða	nvfe
sem	sem	ct
knúinn	knýja	sþgken
er	vera	sfg3en
áfram	áfram	aa
af	af	af
margbrotnu	margbrotinn	lheþsf
eðli	eðli	nheþ
og	og	c
sundurleitni	sundurleitni	nveþ
.	.	pl

Eins	eins	aa
og	og	c
lýsingin	lýsing	nveng
ber	bera	sfg3en
með	með	af
sér	sig	fpveþ
kveður	kveða	sfg3en
við	við	af
nokkuð	nokkur	fohen
nýjan	nýr	lkeosf
tón	tónn	nkeo
í	í	af
sýningarstjórn	sýningarstjórn	nveþ
tvíæringsins	tvíæringur	nkeeg
að	að	af
þessu	þessi	faheþ
sinni	sinn	nheþ
.	.	pl

Francesco	Francesco	n----s
Bonami	Bonami	n----s
gerir	gera	sfg3en
meðvitaða	meðvitaður	lveosf
tilraun	tilraun	nveo
til	til	af
að	að	cn
brjóta	brjóta	sng
upp	upp	aa
einsleitni	einsleitni	nveo
og	og	c
fyrirfram	fyrirfram	aa
gefna	gefinn	lkfosf
staðla	staðall	nkfo
eða	eða	c
tískustefnur	tískustefna	nvfo
í	í	af
listheiminum	listheimur	nkeþg
,	,	pk
í	í	af
þeim	sá	fakeþ
tilgangi	tilgangur	nkeþ
að	að	cn
sýna	sýna	sng
fram	fram	aa
á	á	af
fjölbreytileika	fjölbreytileiki	nkeo
menningar	menning	nvee
samtímans	samtími	nkeeg
.	.	pl

Hugmyndin	hugmynd	nveng
sem	sem	ct
slík	slíkur	fbven
á	eiga	sfg3en
auðvitað	auðvitað	aa
rætur	rót	nvfo
sínar	sinn	fevfo
að	að	cn
rekja	rekja	sng
til	til	af
póstmódernískra	póstmódernískur	lkfesf
strauma	straumur	nkfe
þar	þar	aa
sem	sem	c
jaðarinn	jaðar	nkeng
er	vera	sfg3en
jafnsýnilegur	jafnsýnilegur	lkensf
og	og	c
miðjan	miðja	nveng
,	,	pk
og	og	c
sundurleitnin	sundurleitni	nveng
eða	eða	c
tvístrunin	tvístrun	nveng
er	vera	sfg3en
það	sá	fahen
leiðarminni	leiðarminni	nhen
sem	sem	ct
verður	verða	sfg3en
mest	mikið	aae
áberandi	áberandi	lhenof
í	í	af
menningunni	menning	nveþg
.	.	pl

Þótt	þótt	c
sú	sá	faven
þróun	þróun	nven
er	er	ct
færði	færa	sfg3eþ
lesandann	lesandi	nkeog
í	í	af
öndvegi	öndvegi	nheo
í	í	af
bókmenntaheiminum	bókmenntaheimur	nkeþg
hafi	hafa	svg3en
átt	eiga	sþghen
sér	sig	fpveþ
stað	staður	nkeo
fyrir	fyrir	af
áratugum	áratugur	nkfþ
síðan	síðan	aa
undir	undir	af
handleiðslu	handleiðsla	nveþ
Roland	Roland	n----s
Barthes	Barthes	n----s
,	,	pk
heyrir	heyra	sfg3en
þessi	þessi	faven
